"dist_bp","dist_kb","r2"
135390,135.39,0.0165771787226167
12,0.012,0.199385201438586
533200,533.2,0.00395255318103575
663565,663.565,0.00598118088124068
415669,415.669,0.859784050576097
9824,9.824,0.849579415010853
29600,29.6,0.875992367376782
181210,181.21,0.649693185405125
168889,168.889,0.892225609866174
1184,1.184,0.665930092888704
20,0.02,1
7,0.007,1
13,0.013,1
313,0.313,0.90393811548474
391271,391.271,0.0288275334947742
22179,22.179,0.0249560559530675
1017180,1017.18,0.0318139545056801
66118,66.118,0.900662129425722
5,0.005,1
15073,15.073,0.00270866277556576
30,0.03,1
11,0.011,1
2,0.002,0.00395775491872668
3,0.003,1
4,0.004,1
186443,186.443,0.00373511063732583
663068,663.068,0.00202740326158281
29,0.029,0.0630344305934784
18025,18.025,0.574034170835438
429,0.429,0.921238124635221
4601,4.601,0.840212471752944
4,0.004,1
2,0.002,1
7,0.007,1
2,0.002,1
2,0.002,1
1,0.001,0.916855767578664
1,0.001,1
1199780,1199.78,0.740401513748727
457850,457.85,0.0340997209197646
8,0.008,0.0400089333052203
16,0.016,0.81085865841266
18,0.018,0.05825644048383
220531,220.531,0.876069913485921
240138,240.138,0.0338673185897174
11,0.011,0.0391667232077424
173050,173.05,0.0388178373890647
583434,583.434,6.69522197931456e-05
7,0.007,1
41,0.041,1
87046,87.046,5.60287668945094e-05
196,0.196,0.7351536336329
13,0.013,1
25,0.025,0.790179554813555
400127,400.127,0.0326679795342063
13,0.013,1
486030,486.03,0.0346382902643982
372657,372.657,0.00143965969807223
89,0.089,0.738376811529358
172047,172.047,0.00164568044457901
3596346,3596.346,0.00604485460549212
47672,47.672,0.0152573656007191
955411,955.411,0.535563210485217
1296943,1296.943,0.835787273477964
59803,59.803,0.850406775347065
1182264,1182.264,0.603701646581807
382414,382.414,0.441845531500235
91873,91.873,7.61251620849597e-05
23,0.023,0.000647211998168538
70,0.07,0.753120788127802
102058,102.058,0.000970410270482034
6707,6.707,0.616190369235172
24,0.024,0.66300558560344
62,0.062,0.567564741894019
4,0.004,0.9924118355724
7410,7.41,0.0149684023177239
9,0.009,1
165723,165.723,0.774015590860948
358521,358.521,0.00565490075490897
369429,369.429,0.0732939522014824
504128,504.128,0.0131751617769373
56440,56.44,0.606335487289749
12407,12.407,0.796699029971213
2,0.002,1
1,0.001,1
1,0.001,1
2,0.002,1
1,0.001,1
830035,830.035,0.00989351254969327
24,0.024,0.873376266855423
543797,543.797,0.568135849464461
4086433,4086.433,0.494508270567294
261749,261.749,0.84188651214726
789230,789.23,0.888443685947026
5516,5.516,0.015684994075236
26,0.026,0.0258885550507243
2,0.002,0.0258885550507243
236005,236.005,0.0127174936650611
53,0.053,0.936586837907887
527547,527.547,0.000973496399670039
935171,935.171,0.00473128799178652
1,0.001,1
472865,472.865,0.000724028452619564
1486673,1486.673,0.359164776311069
913790,913.79,0.00467216085123349
6,0.006,1
18,0.018,1
461010,461.01,0.00460849294850791
1,0.001,1
3651847,3651.847,0.00302776083291772
11,0.011,1
25,0.025,1
2,0.002,1
2,0.002,1
5,0.005,1
300,0.3,0.778478987671306
1,0.001,1
1,0.001,1
13,0.013,1
3,0.003,1
4,0.004,1
16,0.016,1
1288811,1288.811,0.805512497286893
22,0.022,1
5806159,5806.159,0.00214198751875534
7327912,7327.912,0.00864059617622286
1835718,1835.718,0.0043898033494251
19,0.019,1
11,0.011,1
2787519,2787.519,0.7430420577202
563394,563.394,0.666006459660115
25,0.025,1
4185468,4185.468,0.607286216470062
624964,624.964,0.000822662242938346
439507,439.507,0.00159164036098045
15,0.015,1
427574,427.574,0.670462355435155
40,0.04,1
3429230,3429.23,0.612189283857013
33,0.033,1
253805,253.805,0.730043271490314
1000424,1000.424,0.00249858172750212
3437081,3437.081,0.0292893469222721
153819,153.819,0.00739080945179359
25,0.025,1
9,0.009,1
8,0.008,1
3915045,3915.045,0.741302568848599
43,0.043,1
698077,698.077,0.712758687910533
8686265,8686.265,0.735482125528553
6,0.006,1
2,0.002,1
2,0.002,1
5569150,5569.15,0.733788543249955
308,0.308,0.638485148255722
21,0.021,1
378,0.378,0.496391920889707
36,0.036,1
930,0.93,0.542086662567104
17,0.017,1
19,0.019,0.979387304040894
1507055,1507.055,0.663022410955923
1,0.001,1
2,0.002,1
1,0.001,1
2,0.002,1
1964235,1964.235,0.000212201622865686
1210647,1210.647,0.00011966248759852
14,0.014,1
4,0.004,1
4,0.004,1
1588398,1588.398,0.615790939016641
12,0.012,1
17,0.017,1
1360292,1360.292,0.78221051626926
1,0.001,1
4,0.004,1
1,0.001,1
2,0.002,1
2,0.002,1
4,0.004,1
23,0.023,1
3622806,3622.806,0.614832363347734
2,0.002,1
1,0.001,1
22,0.022,1
7,0.007,1
18076846,18076.846,0.652843202604997
27,0.027,1
3,0.003,1
5045200,5045.2,0.664890795215585
22,0.022,1
2348962,2348.962,0.570871036952914
21718870,21718.87,0.0531284246215408
9352582,9352.582,0.00172487072968242
7,0.007,0.636403949945908
31869077,31869.077,0.00196295571204413
1449029,1449.029,0.000102261825937656
7,0.007,1
1615145,1615.145,0.918382694975007
29530903,29530.903,0.92467210323054
4479783,4479.783,0.879245719872745
6896272,6896.272,0.0529778173287782
2317311,2317.311,3.39597670049828e-06
3815278,3815.278,0.00336057128170595
6784492,6784.492,0.0890967114213593
17938312,17938.312,0.00565648499783362
4884776,4884.776,0.162218915917427
4267257,4267.257,0.390709407758815
786224,786.224,0.77611238821367
3666966,3666.966,0.856730162447909
10,0.01,1
2035247,2035.247,0.496641902604834
1408478,1408.478,0.753061370199119
929835,929.835,0.679264042865593
1325417,1325.417,0.00217272316507148
23349457,23349.457,2.04255432836545e-06
5,0.005,0.839473685831635
1333871,1333.871,0.911708876858437
795623,795.623,0.729417907382877
1174934,1174.934,0.931051823861254
1190878,1190.878,0.901944223539431
1292717,1292.717,0.794967399401938
2717951,2717.951,0.886442049991166
2529797,2529.797,0.898416431061185
6246691,6246.691,0.807511042962154
22,0.022,0.912636843689064
7,0.007,0.912636843689064
731331,731.331,9.5410195263954e-05
295990,295.99,1.25287698286515e-06
386845,386.845,0.794867594852849
876431,876.431,0.00485420018099214
1,0.001,1
1919103,1919.103,0.00397920056847488
3450521,3450.521,0.738975897095823
4472340,4472.34,0.726719442876309
18,0.018,0.838605724036206
450653,450.653,0.763835300326079
422765,422.765,0.824093034372648
1346848,1346.848,0.759975040775334
1,0.001,1
431811,431.811,0.702031314439523
58,0.058,0.741017030555906
468288,468.288,0.72042351678081
226421,226.421,0.8678340129336
3122619,3122.619,0.870984347040361
1567174,1567.174,0.896142196421305
352041,352.041,0.0170725601131519
45,0.045,0.021347843453474
893540,893.54,0.894761398382864
3215,3.215,0.901083740699313
1002891,1002.891,0.903710318292973
4910227,4910.227,0.786841389569087
1458653,1458.653,0.85262743183461
2171677,2171.677,0.877947710181359
1694630,1694.63,0.861155563053998
1359040,1359.04,0.748795456912534
2,0.002,1
6463530,6463.53,0.000326661701903061
575047,575.047,0.820887832220246
34954,34.954,0.911505972637983
6903526,6903.526,0.47654487303156
456838,456.838,0.00556041482331644
712810,712.81,0.00556041482331644
22,0.022,0.964881330776063
192298,192.298,0.0176611620231347
1773472,1773.472,0.00446485489082295
945327,945.327,0.00831312321091864
10629066,10629.066,0.00198280141716844
10630118,10630.118,0.00422320946219397
2131008,2131.008,0.0171978745654752
655705,655.705,0.0138008638638692
3262360,3262.36,0.581725572858891
2764109,2764.109,0.868333109265878
6087859,6087.859,0.00968410360985881
9221511,9221.511,0.000135156320035854
11204301,11204.301,0.00370100490609435
223151,223.151,0.701426444266078
80984,80.984,0.894469044617995
101095,101.095,0.360616777781677
604755,604.755,0.0102911010422754
86913,86.913,0.822796768432124
1956701,1956.701,0.0011173326835448
1459205,1459.205,7.75154251749519e-06
4731339,4731.339,0.017445671954511
58,0.058,0.895137195500161
94753,94.753,0.881276580802266
271495,271.495,0.000379377989094551
4,0.004,1
4,0.004,1
1,0.001,1
23,0.023,1
359650,359.65,0.00375514192879037
2116699,2116.699,0.348267555727684
2224,2.224,0.0067949748518888
238807,238.807,0.770460771349658
824803,824.803,0.0879291912574111
32,0.032,0.0833956628342781
1137483,1137.483,0.833345798539574
13,0.013,1
206512,206.512,0.0907140198175041
6,0.006,1
33,0.033,1
2,0.002,1
7,0.007,0.997913579723343
6170,6.17,0.925453548772484
6,0.006,1
13,0.013,1
687,0.687,0.919791346336668
2097,2.097,0.0389580673105444
712155,712.155,0.0303140729582416
28892,28.892,0.068069522532183
207460,207.46,0.0765254488715456
321819,321.819,0.472392378215603
162278,162.278,0.219424873215438
142026,142.026,0.102372171539079
1267425,1267.425,0.194609396762078
961249,961.249,0.151893266113373
21473,21.473,0.144583127961531
106112,106.112,0.926448950822624
749464,749.464,0.116579028309902
72342,72.342,0.0492009077912125
1251097,1251.097,0.305254655692185
19,0.019,0.126507846729268
479,0.479,0.904404963736708
1255350,1255.35,0.0899953141437232
37,0.037,1
16,0.016,1
22255,22.255,0.178968331893698
877009,877.009,0.176466952984315
2123151,2123.151,0.820268585964057
157433,157.433,0.526691391394994
743027,743.027,0.440162310926574
15731,15.731,0.822323231139609
1004695,1004.695,0.0829367262040269
42205,42.205,0.204409480154172
2718449,2718.449,0.649221776058251
37666,37.666,0.878802048205228
1747089,1747.089,0.688747664956132
197960,197.96,0.809322990015238
365925,365.925,0.858544357427734
797797,797.797,0.76186276359296
91123,91.123,0.806454906547311
858562,858.562,0.0322540860403993
498893,498.893,0.047119672281638
434237,434.237,0.614391754018703
1,0.001,1
116596,116.596,0.55415645156678
132,0.132,0.902161433033462
18984,18.984,0.618876746253916
13,0.013,0.419245320308789
29,0.029,1
274387,274.387,0.674384915927117
249917,249.917,0.748894166238946
150920,150.92,0.640819778546085
30835,30.835,0.837478607289005
22,0.022,0.94169282277562
351869,351.869,0.301588129130428
139005,139.005,0.918689074083222
2,0.002,1
1365557,1365.557,0.39419947704336
61942,61.942,0.882390187976452
263,0.263,0.929403653168012
12,0.012,0.780816692590968
209627,209.627,0.751340567548824
761657,761.657,0.255534408288147
135228,135.228,0.816812770606255
50496,50.496,0.391317879158192
6,0.006,1
1644904,1644.904,0.164686112613946
30,0.03,0.460836842603071
2059576,2059.576,0.0922343779260229
277081,277.081,0.909339202765999
1679233,1679.233,0.134396731940993
382020,382.02,0.00139941650034896
877035,877.035,0.00132718222922839
246473,246.473,0.0277907614207912
386964,386.964,0.0887320332184084
56,0.056,0.920650443373095
150885,150.885,0.584127884839065
308035,308.035,0.128447768057787
452816,452.816,0.892069713279407
183781,183.781,0.912093680346295
16,0.016,1
5,0.005,1
21,0.021,1
45,0.045,0.934712573278217
22288,22.288,0.0182117139127368
87695,87.695,0.0138484892611511
19,0.019,1
12,0.012,1
484138,484.138,0.371410325909881
11515,11.515,0.586751785123831
533712,533.712,0.576524323411304
18531,18.531,0.204819207765371
84,0.084,0.0172523718199297
133100,133.1,0.579755231125406
26248,26.248,0.206386887357737
403906,403.906,0.585075078228179
205585,205.585,0.0350350543497894
11993,11.993,0.309602821735893
462,0.462,0.923234267560667
837022,837.022,0.555333097265875
85,0.085,0.885332024181964
20439,20.439,0.883874509996615
167169,167.169,0.620381473565516
286,0.286,0.67691274010559
6,0.006,1
13,0.013,1
190743,190.743,0.807762794932838
27376,27.376,0.869578999168313
613773,613.773,0.880923221861584
205848,205.848,0.587861324429415
232231,232.231,0.111260433941138
1,0.001,1
46,0.046,0.111444168673678
1,0.001,1
1,0.001,1
217800,217.8,0.805390852732988
41,0.041,0.465161613164426
141285,141.285,0.869510356294786
1562167,1562.167,0.154539014407344
235693,235.693,0.514504436581747
21784,21.784,0.411235790651631
158628,158.628,0.4035800401475
534073,534.073,0.326736730290027
2934,2.934,0.196297084860209
59931,59.931,0.196382182899714
17,0.017,0.0977564007049594
80623,80.623,0.866069479371288
42,0.042,1
5571,5.571,0.75599986220525
223,0.223,0.895735171842097
3116879,3116.879,0.00812681044038872
92818,92.818,0.895898053185822
5,0.005,1
1705,1.705,0.905221577760461
457342,457.342,0.913333403123882
6,0.006,0.66850614776116
213297,213.297,0.0623690201605114
1121,1.121,0.247790444281839
294219,294.219,0.06398472931007
51,0.051,0.887469403146253
400949,400.949,0.026647660313962
1,0.001,1
1,0.001,1
653226,653.226,0.505135942750709
23,0.023,1
38,0.038,0.908232531844812
7669,7.669,0.0285588150336048
36387,36.387,0.0270668365379348
53,0.053,0.0407119229800006
12857,12.857,0.0365360162218376
196314,196.314,0.0412414285418675
2182151,2182.151,0.864478250402284
626962,626.962,0.0433153000270025
1190354,1190.354,0.609356197937345
878741,878.741,0.191738750547792
70,0.07,0.00713685691889545
102391,102.391,0.857886130563263
48,0.048,1
2110151,2110.151,0.0381886470457858
847103,847.103,0.851704253657983
1045067,1045.067,0.203008247464672
69213,69.213,0.162948833615307
592970,592.97,0.329644543108008
16,0.016,1
2910,2.91,0.108509771247974
48287,48.287,0.0825404151435425
335078,335.078,0.00329027330548458
2,0.002,1
1,0.001,1
2,0.002,0.95368862124153
1,0.001,0.95368862124153
5,0.005,1
21,0.021,1
1019,1.019,0.00339943671975064
169913,169.913,0.470256015815013
54796,54.796,0.690644390328066
137956,137.956,0.000523242636174079
47155,47.155,0.0192282063052602
169835,169.835,0.0848231992114586
104087,104.087,0.665853325679906
747795,747.795,0.348752398174857
87121,87.121,0.247318937160762
142965,142.965,0.132216037994386
1,0.001,1
2,0.002,1
15,0.015,1
2,0.002,1
9,0.009,1
1318,1.318,0.285782621870467
57,0.057,0.315760308335272
1,0.001,1
151418,151.418,0.140855288529353
233596,233.596,0.283553478208595
662928,662.928,0.0590062926270549
31,0.031,1
912465,912.465,0.0316566149779148
311157,311.157,0.0491133046183077
28,0.028,0.0908516542384488
121718,121.718,0.0870236288257608
356771,356.771,0.0499786126201667
10504,10.504,0.00438858054769244
863802,863.802,7.72664456404659e-05
346931,346.931,0.895252021450006
2,0.002,1
230,0.23,0.913139134819366
974312,974.312,0.0176027886920919
947916,947.916,0.00780008360789922
674547,674.547,0.00706812508804319
248552,248.552,0.734493187764237
9299,9.299,0.804293686354391
38779,38.779,0.808707646811363
343384,343.384,0.853735228776323
667701,667.701,0.50776096096364
263286,263.286,0.571467709848943
7447,7.447,0.0439945911292692
357872,357.872,0.0364570750550136
2,0.002,1
397487,397.487,0.802497323779329
298179,298.179,0.77845130827176
2,0.002,1
111953,111.953,0.219037882304165
95,0.095,0.232925175435973
867084,867.084,0.10290710362567
868812,868.812,0.389805941501124
861,0.861,0.188654095273746
18,0.018,0.2002032087027
9,0.009,0.2002032087027
18227,18.227,0.182349302636825
696786,696.786,0.00595238295536272
101087,101.087,0.00489614839789264
14963,14.963,0.0769221867725971
267990,267.99,0.260628366537615
12781,12.781,0.299260525476176
457580,457.58,0.249831570474163
7,0.007,0.344853448468507
6,0.006,0.0632067755297435
57,0.057,0.181005086584701
21,0.021,0.328018360261656
493489,493.489,0.877243431672063
372404,372.404,0.0610535181359164
94856,94.856,0.358677903526745
496022,496.022,0.827705715411008
24,0.024,0.545430349496071
4,0.004,0.545430349496071
378089,378.089,0.871270263647345
277474,277.474,0.140179412482976
16,0.016,0.342985496390601
205849,205.849,0.856374466369307
289850,289.85,0.310445484956265
322944,322.944,0.885167410936146
17,0.017,1
4323,4.323,0.894500695042689
7708,7.708,0.905216793092254
19851,19.851,0.901907858115363
17,0.017,0.969826906684607
106022,106.022,0.437243750268126
20,0.02,1
12,0.012,1
6,0.006,1
164,0.164,0.915484486796359
310234,310.234,0.889613763907523
143296,143.296,0.74272331749272
52,0.052,0.919613785901259
812625,812.625,0.204464486891617
16387,16.387,0.931555225187545
45341,45.341,0.00207104895058254
17184,17.184,0.0025301719420558
48352,48.352,0.905031999676916
634060,634.06,0.259131843655031
102431,102.431,0.786232593427
32,0.032,0.108912305985164
13269,13.269,0.0209055109492753
1389,1.389,0.0452618367731901
218206,218.206,0.549964774984295
50230,50.23,0.822653742075258
676,0.676,0.816799507106694
3298,3.298,0.000840807425731002
90671,90.671,0.000766742467956462
15751,15.751,0.873148623084773
110,0.11,0.882513895881811
3068,3.068,0.870138994551976
3776,3.776,0.904090467612238
5173,5.173,0.894992665084787
26,0.026,0.139227736040691
180105,180.105,0.0846961277269923
188437,188.437,0.0150780054536261
1890514,1890.514,0.407311373663933
136157,136.157,0.0137487594010473
19,0.019,0.00608771316944248
30782,30.782,0.850918806652649
46348,46.348,0.920156198931309
388440,388.44,0.851064632640678
144060,144.06,0.912135952399785
113543,113.543,0.925757118355775
10670,10.67,0.912222691167336
118959,118.959,0.881791627611243
61071,61.071,0.00776989922300129
1650765,1650.765,0.671647556445227
31355,31.355,0.0326636922430476
17068,17.068,0.893579465266618
44,0.044,0.0289519483085826
261857,261.857,0.0081573566545765
138,0.138,0.931244771388539
186478,186.478,0.108082097949144
30,0.03,0.0681420917176511
676373,676.373,0.709925167396078
193397,193.397,0.874044062510595
58,0.058,0.997991664263487
244903,244.903,0.838172368322832
170785,170.785,0.810626646402531
9,0.009,1
53664,53.664,0.840914794299515
1236204,1236.204,0.859501309006917
597,0.597,0.93103574003577
762961,762.961,0.897041961241284
68872,68.872,0.0877576314115733
267765,267.765,0.00173170634878845
16,0.016,1
4,0.004,1
16,0.016,0.977947093983768
66475,66.475,0.00631085969203903
50,0.05,0.999999999999999
3,0.003,0.999999999999999
3299009,3299.009,0.000462730990497685
460064,460.064,0.0617853971419441
464537,464.537,0.823822743936587
70968,70.968,0.079346307520452
76835,76.835,0.664511220238286
94126,94.126,0.666560105492817
28,0.028,0.73384786764656
98785,98.785,0.0558228056996188
19,0.019,0.0584751794382402
120783,120.783,0.436832639841514
244396,244.396,0.455453325384188
175046,175.046,0.764143377818926
20555,20.555,0.652228981905724
1,0.001,1
3,0.003,1
38257,38.257,0.804141916939599
20,0.02,0.691248002653289
10,0.01,1
2,0.002,1
1287817,1287.817,0.483076298981667
4037,4.037,0.922218293089811
6214,6.214,0.463000017915585
50,0.05,0.529187462732619
66703,66.703,0.00545893442227946
23,0.023,0.00827059619249463
237800,237.8,0.0320526440961596
17899,17.899,0.154861517584109
6813,6.813,0.210577511434384
55,0.055,0.605066489099447
1364896,1364.896,0.0200989171536714
14777,14.777,0.0910133778908858
10065,10.065,0.305251756298753
361847,361.847,0.39273260659755
17781,17.781,0.00913910209703686
264603,264.603,0.00540655833293162
31827,31.827,0.0112620722797362
45504,45.504,0.059061418047244
37290,37.29,0.108029715291085
8,0.008,0.143512118839006
799658,799.658,0.422926336270717
190491,190.491,0.116020153750599
991481,991.481,0.0178667834647328
25466,25.466,0.0173303108399906
11,0.011,0.0315101375006343
5,0.005,1
93330,93.33,0.188337026304249
192794,192.794,0.046174900392534
191014,191.014,0.938789189323879
4313,4.313,0.949663673040572
24,0.024,1
6,0.006,1
1281887,1281.887,0.276147317941833
1,0.001,1
53,0.053,0.539874176643489
22,0.022,0.123587067249776
112181,112.181,0.122006807492241
83526,83.526,0.119595549292177
520055,520.055,0.0572304461133562
65318,65.318,0.0870252422596569
134665,134.665,0.0359876466959041
182501,182.501,0.930834036436135
170,0.17,0.874248630951354
328425,328.425,0.744558586583773
22,0.022,0.0225377175680811
63,0.063,0.577322940958053
527729,527.729,0.0211285396874481
294478,294.478,0.84975741637519
18408,18.408,0.0199808068426859
334955,334.955,0.0292248217877343
273597,273.597,0.0201551954894935
343860,343.86,0.717390274868727
1162507,1162.507,0.00385993698137202
1,0.001,1
24,0.024,1
537688,537.688,6.39568627381708e-05
605484,605.484,0.109602906548298
65181,65.181,0.00781083660397631
42,0.042,1
2,0.002,1
440624,440.624,0.0096716277827199
191943,191.943,0.910807703909107
90701,90.701,0.838616988273288
24180,24.18,0.075681843994997
460774,460.774,0.0911015913681923
147740,147.74,0.881393853757618
83797,83.797,0.300542829324989
28,0.028,0.656362096612938
200846,200.846,0.895985412140535
537731,537.731,0.475527442627475
839562,839.562,0.0908490747182998
397836,397.836,0.024169401299534
36,0.036,0.129298649706451
15807,15.807,0.805374566591518
15367,15.367,0.0501437348890287
370,0.37,0.241245562285363
855012,855.012,0.732793246253212
43366,43.366,0.754719546555757
163843,163.843,0.413700256317515
134385,134.385,0.0550391161210358
666903,666.903,0.0381803984081842
275704,275.704,0.68656819841556
33,0.033,1
5,0.005,0.961837944808892
1,0.001,1
13088,13.088,0.778865636779951
195458,195.458,0.371592473184827
405182,405.182,0.457796349415623
32,0.032,0.249563575056597
2,0.002,0.0379214548500281
1,0.001,1
115251,115.251,0.0748020040221008
16,0.016,0.397604285513476
157209,157.209,0.823370904477842
1,0.001,1
10,0.01,1
1814,1.814,0.935432347921962
76256,76.256,0.201978322315334
184933,184.933,0.828326270218871
103317,103.317,0.0723943836962746
42385,42.385,0.761806151847356
2,0.002,0.217337941423473
14,0.014,1
32925,32.925,0.890325537917967
95139,95.139,0.885197966708065
106,0.106,0.0347698425465342
89951,89.951,0.0234784295909582
326645,326.645,0.000432823201435675
10,0.01,1
2253,2.253,0.000252356669043207
42,0.042,1
185535,185.535,0.701439377696243
23,0.023,1
72789,72.789,0.329285889905135
770349,770.349,0.0282925438704881
170035,170.035,0.190476498326446
44,0.044,1
9934,9.934,0.847014879716459
11052,11.052,0.253332660486347
11,0.011,0.269483547376368
10329,10.329,0.225089418461011
29,0.029,0.2570322662531
841379,841.379,0.000524227052727847
23,0.023,0.999999999999998
90414,90.414,0.00253351245676676
5934,5.934,0.788229242561475
56877,56.877,0.868969763858738
23,0.023,1
1423393,1423.393,0.104402969308797
3042,3.042,0.232137077668573
154061,154.061,0.225700798395376
687680,687.68,0.679460622591349
273504,273.504,0.000878339930285905
